time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-25 00:00:00+00:00,11,6,0,0
2026-01-26 00:00:00+00:00,6,5,1,1
2026-01-27 00:00:00+00:00,13,8,5,2
2026-01-28 00:00:00+00:00,15,6,2,1
2026-01-29 00:00:00+00:00,12,7,3,2
2026-01-30 00:00:00+00:00,16,7,25,1
2026-01-31 00:00:00+00:00,10,5,0,0
2026-02-01 00:00:00+00:00,10,5,1,1
2026-02-02 00:00:00+00:00,5,4,2,2
2026-02-03 00:00:00+00:00,13,5,1,1
2026-02-04 00:00:00+00:00,18,8,1,1
2026-02-05 00:00:00+00:00,15,9,0,0
2026-02-06 00:00:00+00:00,19,10,1,1
2026-02-07 00:00:00+00:00,18,9,0,0
