time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-30 00:00:00+00:00,8,8,0,0
2026-03-31 00:00:00+00:00,18,9,0,0
2026-04-01 00:00:00+00:00,10,5,1,1
2026-04-02 00:00:00+00:00,7,6,1,1
2026-04-03 00:00:00+00:00,10,5,0,0
2026-04-04 00:00:00+00:00,17,9,0,0
2026-04-05 00:00:00+00:00,17,7,0,0
2026-04-06 00:00:00+00:00,1,1,0,0
2026-04-07 00:00:00+00:00,10,6,0,0
2026-04-08 00:00:00+00:00,13,6,4,3
2026-04-09 00:00:00+00:00,20,10,1,1
2026-04-10 00:00:00+00:00,23,6,0,0
2026-04-11 00:00:00+00:00,5,4,0,0
2026-04-12 00:00:00+00:00,11,6,0,0
