time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-07 00:00:00+00:00,1,1,1,1
2026-09-08 00:00:00+00:00,2,2,0,0
2026-09-09 00:00:00+00:00,11,6,0,0
2026-09-10 00:00:00+00:00,4,3,1,1
2026-09-11 00:00:00+00:00,20,13,0,0
2026-09-12 00:00:00+00:00,2,2,1,1
2026-09-13 00:00:00+00:00,5,5,0,0
2026-09-14 00:00:00+00:00,47,21,5,2
2026-09-15 00:00:00+00:00,14,8,0,0
2026-09-16 00:00:00+00:00,5,4,7,3
2026-09-17 00:00:00+00:00,23,11,0,0
2026-09-18 00:00:00+00:00,4,4,0,0
2026-09-19 00:00:00+00:00,30,14,0,0
2026-09-20 00:00:00+00:00,10,8,0,0
